Step,Description,Expected result,Test type ,
Test 1,order a coffee without sugar and pay with visa,The purchase will be made successfully and the machine will prepare the drink according to the customer's requirement,    Functionality- Positive, 
,,,,
,,,,
,,,,
Test 2,order a coffee with brown sugar and pay with master card,,,
,,,,
,,,,
,,,,
Test 3,Order a coffee with white sugar and pay with visa,,,
,,,,
,,,,
,,,,
Test 4 ,Order a tea with brown sugar and pay with visa,,,
,,,,
,,,,
,,,,
Step,Description,Expected result,Test type ,
Test 1,Order a coffe with white sugar and don't choose any method of payment,The machine will alert that a method of payment has not been chosen and should abort the action after a while,Negative,
,,,,
,,,,
,,,,
Test 2,Order a coffe with white sugar and pay with isracard,    The machine will alert that this type of card is not supported and that the client should pay with a master card or visa ,,
,,,,
,,,,
,,,,
Step,Description,Expected result,Test type ,
Test 1,Order 100 cups of coffe with sugar and pay for each one with visa,The machine will preparing the cups and make the deals as expected,Stabillity,
,,,,
,,,,
,,,,
Step,Description,Expected result,Test type ,
Test 1,Empty the machine's sugar inventory and try to order a coffee,"The system will alert: ""the machine is out of sugar"" and disable the option to order a drink with sugar. The machine will prepare the coffee without sugar as expected",Ui and functionallity,
,,,,
,,,,
,,,,
Test 2,Empty the machine's coffee inventory and try to order tea,"The system will alert: ""the machine is out of coffee"" and disable the option of ordering coffe. The system will prepare a cup of tea as expected",Ui and functionallity,
,,,,
,,,,
,,,,
Test 3,Empty the machine's tea inventory and try to order a coffee,"The system will alert: ""the machine is out of tea"" and disable the option of ordering tea.The system will prepare a cup of coffee as expected",Ui and functionallity,
,,,,
,,,,
,,,,
Test 4 ,Empty the machine's coffee and tea  inventory and try to order a coffee,"The system will alert: ""the machine is out of stock"", all buttons will be disabled ",Ui and functionallity,
,,,,
,,,,
,,,,
